Names	total	elements
		MADCAM1
		SEMA4F
		RPL37A
		NCOA2
		ATP10D
		GHRHR
		C7orf25 /// PSMA2
		SELM
		PKI55
		INHA
		FXYD1
		LOC102723526
		ICOS
		LOC101060321 /// LOC101060351 /// LOC101060376 /// LOC101060389 /// LOC102723859 /// LOC102724862 /// TBC1D3 /// TBC1D3C /// TBC1D3F /// TBC1D3H
		MFAP1
		NSG1
		RP4-612B18.3
		NHLH1
		KCND2
		FCGR1A /// FCGR1B /// FCGR1C
		CTD-2555O16.4 /// MTHFD1
		LOC102723645
		ITGA7
		DNAL1
		MED19
		IDE
		LOC646903
		LTK
		EPAS1
		SCNN1G
		ALKBH6
		UBTF
		WDR13
		ERRFI1
		LINC00673
		ADNP2
		RP4-675G8.2
		MMP23A /// MMP23B
		ADAM11
		TFF1
		RP11-480A16.1
		ZP2
		OLIG2
		PZP
		LOC285766
		HNRNPA1
