Names	total	elements
		CD99L2
		TNFSF11
		SEC24B
		HOXD10
		TTC39A
		RP11-465B22.8
		LCN10
		RNASE7
		ACTRT2
		ABHD13
		IL4
		LINC00858
		KRT20
		KIRREL2
		SFI1
		XIST
		GABRD
		KCTD11
		MAPK8
		NIF3L1
		PHF2
		LINC00563
		FAM175B
		ACTL7A
		SNORA29 /// TCP1
		LOC728705 /// TMEM263
		HSP90AB1
		NOP14
		NKX6-2
		GS1-304P7.2
		RP11-435O5.5
		TRY2P
		EXTL2
		LOC100130872
		CXorf21
		BC039673
		LMNTD2
		FAM76A
		BZW2
		TTC22
		RNF24
		PF4V1
		FGF16
		RAD51AP1
		GJC2
		P4HA1
		AKAP8L
		LPPR1
		TMEM262
		LOC101060181 /// LOC101928574 /// ZNF44
		CCL5
		RAPGEF2
		SPAG1
		ENTPD1
		SETD1A
		RP11-483I13.5
		BRD2
		EPHA5-AS1
		RBMS3-AS3
		PRKCQ
		PCNAP3 /// PCNAP3
		LOC100132167
		ATP10D
		DOK2
		RP5-1170D6.1
		PKI55
		LOC101928255
		FAM21C /// LOC101930591
		ASXL1
		XRCC5
		LOC285696
		NFXL1
		LMF2
		PRM2
		LOC101060321 /// LOC101060351 /// LOC101060376 /// LOC101060389 /// LOC102723859 /// LOC102724862 /// TBC1D3 /// TBC1D3C /// TBC1D3F /// TBC1D3H
		NSG1
		NHLH1
		TDRD7
		HIST1H2BD
		FCGR1A /// FCGR1B /// FCGR1C
		TIMM17B
		RAMP2-AS1
		CTD-2555O16.4 /// MTHFD1
		TXN2
		SCNN1G
		PRELP
		UBTF
		ERRFI1
		LINC00673
		PI4KA /// PI4KAP1 /// PI4KAP2
		RP4-675G8.2
		MIR3658 /// UCK2
		ADAM11
		TFF1
		BANCR
		RP11-480A16.1
		LINC00644
		ZUFSP
		LINC01420
		VPS45
		VCX2
		THNSL2
		RP11-774O3.3
		LOC339975
		TRIM68
		ACTR3C
		C3orf14
		RPS4XP3 /// RPS4XP3
		OCLM
		MYL4
		CYBA
		GSTTP1
		SENP1
		TICAM1
		RPS23P6 /// RPS23P6
		NDUFAF3
		C9orf85
		LOC101928833
		SFXN2
		FBXO8
		RAB3GAP1
		DNAJC22
		STX2
		IGHA1 /// IGHG1 /// IGHM /// IGHV4-31
		LOC101928069
		SLC2A13
		SYT2
		IFNA2
		TMEM159
		FLJ33544
		LINC01019
		PTH2
		TRIM31
		CDKN1B
		SMARCB1
		ULK1
		C2orf27A
		FRG1 /// FRG1B /// LOC100134091 /// LOC100289097 /// LOC101930278 /// LOC101930531 /// LOC102724923
		GCM2
		CTSV
		TEN1 /// TEN1-CDK3
		OR13C4
		ZRSR2
		CADM3-AS1
		CALCA
		EPB41L1
		BC033164
		RBBP8NL
		LINC01267
		MEA1
		CCL27
		SNORD50A /// SNORD50B
		TRAPPC2L
		CCDC109B
		CARD6
		CBLB
		CDK6
		H2BFXP
		LCK
		ACKR4
		SOX12
		UQCRFS1
		P2RX5
		LTB4R2
		LOC497256
		GPATCH4
		TPTE2P5
		CHUK
		KYNU
		TFAP2D
		LOC440934
		CRIM1 /// LOC101929500
		ZNF234
		KCNC3
		HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100996809
		GOLGA2P2Y /// GOLGA2P3Y
		TBKBP1
		RSAD1
		AGPAT4
		HAGLROS
		CABLES2
		LINC00982
		LOC101929752
		DSG1
		Igk
		TADA2A
		CDKL2
		ILF3
		FMO1
		SGCG
		SEMA4B
		ZBP1
		PBK
		AC084219.3
		C22orf31
