Names	total	elements
		SRD5A2L2
		L2HGDH
		PSG3
		MRPL15
		C6orf105
		GMFB
		PBEF1
		OSBP
		DOCK11
		KISS1R
		NCR2
		UBE2W
		PTGER1
		KIF14
		ETV2
		RSU1
		C17orf53
		ATP6V1C1
		TAS2R3
		RPS21
		UBE2N
		GLYATL2
		SKAP2
		SCHIP1
		HP
		SYTL5
		SNORD26
		C1orf112
		GPBP1L1
		NFYC
		TBX21
		MIR604
		RTEL1
		FLJ40453
		ZNF738
		MIR199A2
		ETFA
		CELSR3
		OMD
		SLC4A5
		NSBP1
		MRTO4
		MUC2
		PSTK
		DLST
		RGS20
		NBPF16
		SNORA11C
		MIR519D
		WFIKKN1
		MIR1909
		SERP1
		GTF2IP1
		TMPRSS4
		C1orf115
		ACADVL
		PRRT1
		LRP1B
		XAF1
		BRI3P1
		HBP1
		PLA2G4C
		ANKDD1A
		APOA2
		SLC29A3
		FAM49A
		NUP133
		GTF2H2B
		FIS1
		KDELR1
		FAM129B
		TMEM77
		C18orf58
		TOR2A
		HSCB
		ANP32A
		KIAA0232
		SMS
		OR4F17
		TYMS
		GPRIN2
		KRT74
		CCT6B
		ANKRD20B
		JAGN1
		DEFA5
		CSRP2BP
		CD72
		ZNF480
		PROS1
		SOCS4
		LAMA1
		CSHL1
		ZBTB41
		BAT2D1
		THSD1P
		SENP3
		C1orf212
		KANK4
		SF3B5
		KCTD2
		WDR26
		SNORD116-27
		DECR2
		SPTLC3
		SOCS3
		SOX15
		DNASE1L1
		VWA3A
		ACPL2
		SPIC
		C12orf48
		NIPA2
		GBX2
		FLJ36644
		SCGB1D2
		SP4
		ICAM2
		SH3GL1
		PCYT1B
		C10orf114
		TNFAIP3
		SNORD50B
		NPHP3
		TESK1
		HMGXB4
		RNU105A
		ERCC-00148
		JCLN
		GPR110
		GRID1
		SLC25A24
		FLJ44606
		C14orf50
		TRPV1
		DPPA2
		RFK
		PLXNA4
		XAGE1E
		KIR2DS5
		FLJ10120
		ZDHHC17
		KIAA1429
		HFM1
		MCF2L
		ZNF695
		MAGEA8
		DNAJB13
		PARVG
		FAM20B
		SNORD72
		FLJ35776
		DCTN4
		KCNH3
		AMPH
		C10orf55
		DCST1
		CDRT4
		KIAA1600
		ALOX12
		RPE
		LALBA
		FLJ45832
		TCHP
		TRMT1
		EMID2
		HTR4
		AMY1C
		NRN1
		FAM19A5
		CD276
		XPO6
		USP15
		TCEAL2
		SDSL
		HMHA1
		PPP5C
		TXNL2
		SCAMP4
		GHITM
		OCM2
		MFGE8
		MIR944
		GPSM1
		IAPP
		LRP1
		RAET1L
		SAMHD1
		DDI1
		PKD1P1
		POU4F3
		CALHM1
		DEFB134
		ABCA6
		CLASP1
		TMX3
		TIAM2
		TBC1D3G
		ABCB9
		FANCM
		C9orf57
		RPS3A
		GLT8D1
		GIMAP4
		NAP1L5
		PAPD1
		APOOL
		TGFBRAP1
		MRPL14
		MIR1272
		BBS4
		ATP6V0C
		OR10H5
		AKAP3
		MPP6
		ZNF541
		COMP
		MIR339
		PTPRG
		NCOR1
		BRDT
		LRRC26
		ZNF121
		SLC3A2
		CMTM4
		FLJ30851
		C1orf120
		AMDHD1
		KBTBD10
		C14orf68
		KIAA1239
		ZBTB10
		PDZD2
		P2RX2
		HHLA3
		RAB22A
		NME5
		ERCC-00171
		DNAH10
		PDE10A
		RHOQ
		TM9SF2
		GNG11
		GPAM
		SNX22
		POLR2A
		FGF10
		DNHL1
		OR2B3P
		TRA1P2
		C14orf173
		PDE4DIP
		CXorf39
		NAB1
		CATSPERB
		DGKA
		GALT
		TP53TG1
		CA8
		UBE2A
		UBE2CBP
		TMEM16C
		BCL7B
		HSPA7
		KIAA0125
		NUDT13
		JUP
		C2orf79
		SAA4
		TCL1B
		CASKIN2
		C19orf61
		NMUR2
		KIAA1586
		C20orf166
		CDKN1A
		SAPS3
		EIF2B1
		PHKG1
		RFPL4A
		ERCC-00024
		DKFZp761P0423
		GJC1
		C12orf36
		GABRA5
		TMEM133
		SNHG12
		TBRG1
		DMD
		ANXA2P1
		MRPS6
		KCNQ3
		SNX8
		FLJ41733
		ZIM3
		SNORD96B
		PROX2
		KRT35
		OVOL1
		S100A7
		RIMKLA
		RGPD3
		C8orf49
		POLD1
		DMWD
		C13orf34
		FLJ43806
		PKP3
		MRPL23
		ANO3
		ZNF821
		EIF3CL
		ACTBL2
		SFXN4
		BREA2
		SLC13A3
		PLA2G12A
		PITPNC1
		ODF3B
		MIR665
		ANKRD13D
		CGB8
		MAP1S
		C22orf36
		NDUFS3
		BCYRN1
		DUX4C
		XKR4
		MIR718
		SLC26A7
		ROR1
		KLHDC9
		HSD17B14
		FAM13B
		NRD1
		ZNF486
		RPS16
		MAP7D1
		AAK1
		MIR1183
		AANAT
		MAB21L1
		C22orf43
		EHHADH
		CISD3
		YIPF3
		ZNF503
		NEK2
		C17orf106
		BHLHB4
		BTAF1
		MAST3
		HDLBP
		OR10AD1
		TBC1D19
		PTGER3
		KIAA1712
		BCL2L12
		ACTR3
		GPHN
		SNORA56
		IL12RB1
		MIR193B
		CHST8
		LRP3
		HSPB6
		C11orf47
		LAMA2
		RLBP1
		DEFB117
		ZNF783
		GOLGA8E
		FAM109A
		ZNF764
		SPATA5L1
		FAM20A
		SOX4
		UGT3A1
		EPDR1
		NCRNA00157
		C19orf53
		DIRC2
		ARHGAP17
		GPNMB
		PTPN12
		GPR137B
		LASS1
		TMEM60
		SNRP70
		MXRA8
		SNORD60
		SP6
		SSX2
		SNORD15A
		PRDM9
		PLUNC
		SCOC
		NAPG
		OR51Q1
		HAGHL
